运营商,用户省份,资源省份,质量等级
dx,hunan,guangxi,2
dx,hunan,guizhou,2
dx,hunan,jiangsu,2
dx,hunan,fujian,2
dx,hunan,hainan,2
dx,hunan,hebei,3
dx,hunan,shan3xi,3
dx,henan,henan,1
dx,henan,hubei,2
dx,henan,anhui,2
dx,henan,beijing,2
dx,henan,shandong,2
dx,henan,hebei,2
dx,henan,hunan,2
dx,henan,shan3xi,2
dx,henan,shanxi,2
dx,henan,tianjin,2
dx,henan,guangdong,2
dx,henan,jiangsu,2
dx,henan,sichuan,2
dx,henan,jilin,3
dx,henan,zhejiang,3
dx,henan,guangxi,3
dx,sichuan,sichuan,1
dx,sichuan,chongqing,1
dx,sichuan,yunnan,2
dx,sichuan,shan3xi,2
dx,sichuan,gansu,2
dx,sichuan,guizhou,2
dx,sichuan,henan,2
dx,sichuan,ningxia,2
dx,sichuan,qinghai,2
dx,sichuan,hubei,2
dx,sichuan,hunan,2
dx,sichuan,shanxi,2
dx,sichuan,xizang,3
dx,sichuan,zhejiang,4
dx,chongqing,chongqing,1
dx,chongqing,sichuan,2
dx,chongqing,ningxia,2
dx,chongqing,hunan,2
dx,chongqing,hubei,2
dx,chongqing,shan3xi,3
dx,chongqing,ningxia,4
dx,chongqing,gansu,4
dx,chongqing,shanxi,4
dx,chongqing,guizhou,4
dx,chongqing,henan,4
dx,chongqing,qinghai,4
dx,chongqing,yunnan,4
dx,yunnan,yunnan,1
dx,yunnan,sichuan,2
dx,yunnan,chongqing,2
dx,yunnan,guangxi,2
dx,yunnan,guizhou,2
dx,yunnan,shan3xi,3
dx,yunnan,hubei,3
dx,yunnan,ningxia,3
dx,yunnan,gansu,3
dx,yunnan,qinghai,3
dx,yunnan,henan,4
dx,guizhou,guizhou,1
dx,guizhou,sichuan,2
dx,guizhou,chongqing,2
dx,guizhou,guangxi,2
dx,guizhou,hunan,2
dx,guizhou,yunnan,2
dx,guizhou,shan3xi,3
dx,guizhou,qinghai,3
dx,guizhou,henan,3
dx,guizhou,gansu,3
dx,guizhou,ningxia,4
dx,guizhou,xizang,4
dx,xizang,xizang,1
dx,xizang,ningxia,2
dx,xizang,qinghai,3
dx,xizang,sichuan,3
dx,xizang,gansu,3
dx,xizang,chongqing,4
dx,xizang,guizhou,4
dx,shan3xi,shan3xi,1
dx,shan3xi,chongqing,2
dx,shan3xi,sichuan,2
dx,shan3xi,qinghai,2
dx,shan3xi,hubei,2
dx,shan3xi,hebei,2
dx,shan3xi,gansu,2
dx,shan3xi,henan,2
dx,shan3xi,ningxia,2
dx,shan3xi,neimenggu,2
dx,shan3xi,shanxi,2
dx,shan3xi,guizhou,2
dx,shan3xi,yunnan,2
dx,shan3xi,hunan,3
dx,gansu,gansu,1
dx,gansu,qinghai,1
dx,gansu,ningxia,1
dx,gansu,shan3xi,2
dx,gansu,sichuan,2
dx,gansu,henan,2
dx,gansu,shanxi,2
dx,gansu,beijing,3
dx,gansu,neimenggu,3
dx,gansu,chongqing,3
dx,gansu,xinjiang,4
dx,qinghai,qinghai,1
dx,qinghai,gansu,1
dx,qinghai,shan3xi,2
dx,qinghai,sichuan,2
dx,qinghai,ningxia,2
dx,qinghai,chongqing,3
dx,qinghai,xizang,3
dx,qinghai,henan,3
dx,qinghai,yunnan,3
dx,ningxia,ningxia,1
dx,ningxia,gansu,1
dx,ningxia,shan3xi,2
dx,ningxia,beijing,2
dx,ningxia,hebei,2
dx,ningxia,qinghai,2
dx,ningxia,shanxi,2
dx,ningxia,neimenggu,2
dx,ningxia,sichuan,2
dx,ningxia,henan,3
dx,ningxia,yunnan,4
dx,xinjiang,xinjiang,1
dx,xinjiang,ningxia,2
dx,xinjiang,shan3xi,2
dx,xinjiang,qinghai,3
dx,xinjiang,shanxi,3
dx,xinjiang,gansu,4
